Indicator Name	Indicator Code	Country Name	Country Code	2000	2010
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Samoa	WSM	7.025373955	0.4
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	San Marino	SMR	2.182810368	
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Sao Tome and Principe	STP		4.511410893
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Saudi Arabia	SAU	4.864573291	4.641909814
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Senegal	SEN	3.19898808	4.133698456
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Serbia	SRB	5.339367113	0.954303376
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Seychelles	SYC	4.253194879	6.710896556
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Sierra Leone	SLE	3.80728333	4.9485
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Singapore	SGP	9.042920439	14.76321676
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Slovak Republic	SVK	1.368391945	4.182900159
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Slovenia	SVN	4.265530877	1.379539352
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Solomon Islands	SLB	-14.26748341	7
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Somalia	SOM		
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	South Africa	ZAF	4.154588522	2.889618876
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	South Asia	SAS	4.231506687	8.637161551
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Spain	ESP	5.049815326	-0.319829017
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Sri Lanka	LKA	6	8.015959406
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	St. Kitts and Nevis	KNA	0.663691766	-2.409297654
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	St. Lucia	LCA	0.664687094	0.40253916
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	St. Vincent and the Grenadines	VCT	-0.563306441	-2.785626335
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Sub-Saharan Africa (all income levels)	SSF	3.625541078	5.069861321
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Sub-Saharan Africa (developing only)	SSA	3.595311336	5.136281494
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Sudan	SDN	8.379183663	5.066546798
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Suriname	SUR	-0.062551124	4.104995375
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Swaziland	SWZ	1.760173901	2
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Sweden	SWE	4.452192565	6.556845091
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Switzerland	CHE	3.671187982	3.033701684
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Syrian Arab Republic	SYR	2.742857397	3.2
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Tajikistan	TJK	8.299998545	6.5
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Tanzania	TZA	4.933846627	7.043072344
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Thailand	THA	4.750070316	7.810512395
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Timor-Leste	TMP	13.65923796	9.469602202
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Togo	TGO	-0.783479607	4.038430263
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Tonga	TON	3.369849118	2.690242502
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Trinidad and Tobago	TTO	6.133960779	0
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Tunisia	TUN	4.299708258	3
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Turkey	TUR	6.774455167	9.156952929
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Turkmenistan	TKM	5.46906412	9.2
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Turks and Caicos Islands	TCA		
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Tuvalu	TUV	-0.970668759	-3.001219238
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Uganda	UGA	3.141907338	5.9
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Ukraine	UKR	5.9	4.2
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	United Arab Emirates	ARE	10.85270421	1.432129773
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	United Kingdom	GBR	4.235463404	1.799319905
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	United States	USA	4.173240844	3.021717108
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Upper middle income	UMC	5.812821971	7.843377546
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Uruguay	URY	-1.929930632	8.894820103
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Uzbekistan	UZB	3.8	8.5
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Vanuatu	VUT	5.922044539	1.460583916
